Id_KPIKaryawan,Id_karyawan,nama_Karyawan,Department,status_kehadiran_pelatihan,Status_Kerja,EnvironmentSatisfaction,JobSatisfaction,id_cabang,id_tahun
1,1,Annis,Sales,TIDAK HADIR,AKTIF,2,4,2,1
2,2,Idaline,Research & Development,TIDAK HADIR,AKTIF,3,2,3,1
3,3,Blakelee,Research & Development,HADIR,AKTIF,4,3,4,1
4,4,Rafaellle,Research & Development,TIDAK HADIR,RESIGN,0,0,1,1
5,5,Travers,Research & Development,HADIR,AKTIF,1,2,2,1
6,6,Malva,Research & Development,HADIR,AKTIF,4,4,3,1
7,7,Piggy,Research & Development,HADIR,AKTIF,3,1,1,1
8,8,Shelagh,Research & Development,TIDAK HADIR,AKTIF,4,3,3,1
9,9,Mercy,Research & Development,TIDAK HADIR,AKTIF,4,3,1,1
10,10,Pearl,Research & Development,HADIR,AKTIF,3,3,5,1
11,11,Vinson,Research & Development,HADIR,AKTIF,1,2,1,1
12,12,Lily,Research & Development,HADIR,AKTIF,4,3,2,1
13,13,Oswell,Research & Development,HADIR,AKTIF,1,3,5,1
14,14,Virginia,Research & Development,TIDAK HADIR,AKTIF,2,4,2,1
15,15,Barth,Research & Development,TIDAK HADIR,AKTIF,3,3,2,1
16,16,Flossy,Research & Development,TIDAK HADIR,AKTIF,2,1,5,1
17,17,Irma,Research & Development,HADIR,AKTIF,1,2,5,1
18,18,Hillyer,Research & Development,HADIR,AKTIF,4,4,4,1
19,19,Berton,Sales,HADIR,AKTIF,1,4,5,1
20,20,Stafani,Research & Development,HADIR,AKTIF,4,4,4,1
21,21,Constancia,Research & Development,TIDAK HADIR,AKTIF,1,3,2,1
22,22,Winfred,Sales,HADIR,AKTIF,3,1,2,1
23,23,Dalston,Research & Development,HADIR,AKTIF,1,2,4,1
24,24,Liva,Research & Development,TIDAK HADIR,RESIGN,0,0,4,1
25,25,Adara,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
26,26,Benedict,Research & Development,TIDAK HADIR,AKTIF,3,3,2,1
27,27,Theodore,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
28,28,Evyn,Sales,TIDAK HADIR,AKTIF,3,2,4,1
29,29,Miquela,Research & Development,HADIR,AKTIF,1,4,4,1
30,30,Van,Sales,HADIR,AKTIF,2,1,2,1
31,31,Olive,Research & Development,HADIR,AKTIF,3,4,2,1
32,32,Harrietta,Research & Development,TIDAK HADIR,AKTIF,4,4,5,1
33,33,Verla,Research & Development,TIDAK HADIR,AKTIF,4,3,4,1
34,34,Fredelia,Sales,TIDAK HADIR,AKTIF,4,4,5,1
35,35,Reube,Research & Development,HADIR,AKTIF,2,4,3,1
36,36,Pepita,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
37,37,Hewet,Sales,HADIR,AKTIF,1,3,5,1
38,38,Phebe,Sales,HADIR,AKTIF,4,4,3,1
39,39,Sheelagh,Research & Development,HADIR,AKTIF,2,1,5,1
40,40,Brander,Sales,TIDAK HADIR,AKTIF,3,1,5,1
41,41,Zandra,Research & Development,HADIR,AKTIF,3,4,5,1
42,42,Ezechiel,Research & Development,HADIR,AKTIF,4,1,2,1
43,43,Stacia,Research & Development,TIDAK HADIR,AKTIF,1,3,2,1
44,44,Salvidor,Sales,HADIR,AKTIF,4,3,4,1
45,45,Morganne,Research & Development,HADIR,AKTIF,3,4,5,1
46,46,Hillary,Research & Development,HADIR,AKTIF,2,3,2,1
47,47,Lyda,Sales,HADIR,AKTIF,2,3,3,1
48,48,Viola,Research & Development,HADIR,AKTIF,2,2,2,1
49,49,Rikki,Sales,TIDAK HADIR,RESIGN,0,0,3,1
50,50,Arne,Research & Development,HADIR,AKTIF,4,4,3,1
51,51,Cale,Research & Development,HADIR,AKTIF,1,3,5,1
52,52,Lizette,Research & Development,HADIR,AKTIF,3,3,3,1
53,53,Colline,Sales,HADIR,AKTIF,2,1,4,1
54,54,Portie,Research & Development,HADIR,AKTIF,3,1,5,1
55,55,Quincy,Sales,TIDAK HADIR,AKTIF,3,4,5,1
56,56,Clevie,Research & Development,TIDAK HADIR,AKTIF,1,4,4,1
57,57,Gill,Sales,TIDAK HADIR,AKTIF,2,1,4,1
58,58,Uta,Research & Development,HADIR,AKTIF,3,1,2,1
59,59,Lilla,Research & Development,HADIR,AKTIF,4,4,3,1
60,60,Fair,Research & Development,TIDAK HADIR,AKTIF,1,3,4,1
61,61,Karon,Research & Development,HADIR,AKTIF,1,4,5,1
62,62,Bryn,Research & Development,TIDAK HADIR,AKTIF,4,4,3,1
63,63,Lucinda,Research & Development,TIDAK HADIR,AKTIF,2,3,5,1
64,64,Doloritas,Sales,TIDAK HADIR,AKTIF,1,1,3,1
65,65,Nikolas,Research & Development,HADIR,AKTIF,3,3,5,1
66,66,HADIRman,Research & Development,HADIR,AKTIF,4,3,2,1
67,67,Deborah,Research & Development,TIDAK HADIR,AKTIF,2,2,4,1
68,68,Melicent,Research & Development,TIDAK HADIR,AKTIF,2,1,3,1
69,69,Duke,Research & Development,TIDAK HADIR,AKTIF,2,1,2,1
70,70,Kristan,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
71,71,Paxon,Sales,HADIR,AKTIF,1,3,5,1
72,72,Marcos,Research & Development,TIDAK HADIR,AKTIF,3,2,5,1
73,73,Shannen,Research & Development,TIDAK HADIR,RESIGN,0,0,2,1
74,74,Solly,Research & Development,TIDAK HADIR,AKTIF,2,2,5,1
75,75,Aleen,Research & Development,TIDAK HADIR,AKTIF,2,4,5,1
76,76,Adelaide,Research & Development,TIDAK HADIR,AKTIF,3,4,4,1
77,77,Jody,Sales,TIDAK HADIR,AKTIF,3,1,2,1
78,78,Nanni,Research & Development,HADIR,AKTIF,4,1,4,1
79,79,Eddy,Research & Development,HADIR,AKTIF,1,3,2,1
80,80,Kevina,Human Resources,HADIR,AKTIF,2,2,5,1
81,81,Karina,Research & Development,HADIR,AKTIF,4,4,5,1
82,82,Whitney,Research & Development,HADIR,AKTIF,2,3,4,1
83,83,Tuckie,Sales,HADIR,AKTIF,1,4,2,1
84,84,Frankie,Research & Development,TIDAK HADIR,AKTIF,2,4,4,1
85,85,Karlene,Research & Development,TIDAK HADIR,AKTIF,1,2,1,1
86,86,Annice,Research & Development,HADIR,AKTIF,4,4,3,1
87,87,Garold,Sales,TIDAK HADIR,AKTIF,3,1,4,1
88,88,Donelle,Research & Development,TIDAK HADIR,AKTIF,4,4,5,1
89,89,Janos,Research & Development,TIDAK HADIR,AKTIF,3,4,3,1
90,90,Brnaby,Sales,HADIR,AKTIF,3,4,2,1
91,91,Field,Research & Development,TIDAK HADIR,AKTIF,3,2,5,1
92,92,Fifi,Sales,HADIR,AKTIF,3,4,4,1
93,93,Reeta,Sales,HADIR,AKTIF,3,2,3,1
94,94,Leeland,Research & Development,TIDAK HADIR,AKTIF,3,1,3,1
95,95,Jenni,Sales,HADIR,AKTIF,2,3,2,1
96,96,Kelcie,Research & Development,TIDAK HADIR,AKTIF,1,3,4,1
97,97,Carlene,Sales,TIDAK HADIR,AKTIF,1,3,2,1
98,98,Kipp,Sales,HADIR,AKTIF,2,3,4,1
99,99,Killian,Sales,HADIR,AKTIF,4,3,3,1
100,100,Alon,Research & Development,HADIR,AKTIF,2,2,5,1
101,101,Friedrich,Human Resources,TIDAK HADIR,AKTIF,3,1,1,1
102,102,Angelika,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
103,103,Daffy,Research & Development,TIDAK HADIR,AKTIF,4,4,4,1
104,104,Remington,Research & Development,TIDAK HADIR,RESIGN,0,0,4,1
105,105,Ros,Research & Development,HADIR,AKTIF,3,4,2,1
106,106,Christan,Human Resources,TIDAK HADIR,RESIGN,0,0,5,1
107,107,Cammy,Research & Development,TIDAK HADIR,AKTIF,1,2,4,1
108,108,Nina,Sales,TIDAK HADIR,AKTIF,3,3,2,1
109,109,Dominique,Research & Development,TIDAK HADIR,AKTIF,4,4,2,1
110,110,Dreddy,Research & Development,TIDAK HADIR,AKTIF,2,4,5,1
111,111,Theda,Research & Development,HADIR,AKTIF,1,1,5,1
112,112,Veronique,Research & Development,HADIR,AKTIF,1,3,2,1
113,113,Legra,Human Resources,TIDAK HADIR,AKTIF,4,4,2,1
114,114,Ennis,Research & Development,TIDAK HADIR,AKTIF,2,3,5,1
115,115,Dicky,Research & Development,HADIR,AKTIF,3,2,5,1
116,116,Vance,Sales,TIDAK HADIR,AKTIF,3,4,5,1
117,117,Alexandra,Research & Development,TIDAK HADIR,AKTIF,3,1,2,1
118,118,Lynn,Sales,HADIR,AKTIF,2,4,5,1
119,119,Glynnis,Research & Development,HADIR,AKTIF,1,4,5,1
120,120,Maxy,Sales,HADIR,AKTIF,3,4,2,1
121,121,Floria,Research & Development,TIDAK HADIR,AKTIF,1,3,5,1
122,122,Ruthie,Sales,HADIR,AKTIF,3,2,2,1
123,123,Gabriele,Research & Development,HADIR,AKTIF,2,2,4,1
124,124,Ethelda,Research & Development,TIDAK HADIR,AKTIF,1,3,2,1
125,125,Tawnya,Sales,HADIR,AKTIF,2,3,4,1
126,126,Ken,Research & Development,HADIR,AKTIF,3,2,4,1
127,127,Shirley,Research & Development,TIDAK HADIR,RESIGN,0,0,2,1
128,128,Quinlan,Sales,TIDAK HADIR,AKTIF,4,3,3,1
129,129,Ingaberg,Research & Development,HADIR,AKTIF,3,4,3,1
130,130,Sela,Research & Development,HADIR,AKTIF,3,1,5,1
131,131,Milicent,Research & Development,TIDAK HADIR,AKTIF,2,3,2,1
132,132,Bengt,Sales,HADIR,AKTIF,3,4,3,1
133,133,Washington,Sales,TIDAK HADIR,AKTIF,2,3,4,1
134,134,Elvyn,Sales,HADIR,AKTIF,3,3,5,1
135,135,Miof mela,Human Resources,HADIR,AKTIF,3,3,3,1
136,136,Moise,Research & Development,HADIR,AKTIF,2,2,4,1
137,137,Sada,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
138,138,Charles,Sales,HADIR,AKTIF,4,3,3,1
139,139,Travus,Sales,TIDAK HADIR,RESIGN,0,0,2,1
140,140,Rebeka,Human Resources,TIDAK HADIR,RESIGN,0,0,5,1
141,141,Harris,Research & Development,TIDAK HADIR,AKTIF,1,1,3,1
142,142,Stanford,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
143,143,Joelie,Research & Development,TIDAK HADIR,AKTIF,4,3,3,1
144,144,Catherin,Research & Development,TIDAK HADIR,RESIGN,0,0,4,1
145,145,Nickola,Sales,HADIR,AKTIF,4,4,2,1
146,146,Bell,Research & Development,HADIR,AKTIF,4,1,5,1
147,147,Corbie,Research & Development,HADIR,AKTIF,2,4,5,1
148,148,Roarke,Research & Development,HADIR,AKTIF,4,1,5,1
149,149,Julee,Research & Development,TIDAK HADIR,RESIGN,0,0,2,1
150,150,Ewen,Research & Development,TIDAK HADIR,AKTIF,2,2,2,1
151,151,Jorrie,Research & Development,HADIR,AKTIF,2,2,3,1
152,152,Olly,Sales,TIDAK HADIR,AKTIF,3,2,1,1
153,153,Normand,Sales,TIDAK HADIR,AKTIF,2,3,5,1
154,154,Miguel,Research & Development,TIDAK HADIR,RESIGN,0,0,4,1
155,155,Tab,Sales,TIDAK HADIR,RESIGN,0,0,5,1
156,156,Annabal,Research & Development,TIDAK HADIR,AKTIF,4,3,3,1
157,157,Cynthie,Research & Development,TIDAK HADIR,RESIGN,0,0,5,1
158,158,Shelba,Research & Development,HADIR,AKTIF,2,2,4,1
159,159,Jinny,Sales,TIDAK HADIR,AKTIF,3,4,3,1
160,160,Tallou,Sales,TIDAK HADIR,AKTIF,3,3,2,1
161,161,Meridel,Research & Development,TIDAK HADIR,AKTIF,3,4,4,1
162,162,Skipp,Research & Development,HADIR,AKTIF,4,2,5,1
163,163,Martin,Research & Development,TIDAK HADIR,AKTIF,3,4,5,1
164,164,Cammi,Research & Development,TIDAK HADIR,AKTIF,3,4,2,1
165,165,Lee,Research & Development,TIDAK HADIR,AKTIF,3,3,3,1
166,166,Richardo,Research & Development,HADIR,AKTIF,3,2,2,1
167,167,Kiah,Research & Development,HADIR,AKTIF,1,3,4,1
168,168,Cecil,Sales,HADIR,AKTIF,2,4,5,1
169,169,Letti,Sales,HADIR,AKTIF,1,4,2,1
170,170,Emlynne,Research & Development,TIDAK HADIR,AKTIF,3,3,5,1
171,171,Marjie,Research & Development,TIDAK HADIR,AKTIF,3,2,4,1
172,172,Homer,Sales,HADIR,AKTIF,3,1,4,1
173,173,Colman,Research & Development,TIDAK HADIR,AKTIF,4,2,5,1
